date,token,stoploss,max_order,net_P&L,time,SP_1,SP_time_1,CE_sell_1,PE_sell_1,CE_buy_1,PE_buy_1,start_time_CE_1,start_time_PE_1,end_time_CE_1,end_time_PE_1,SP_2,SP_time_2,CE_sell_2,PE_sell_2,CE_buy_2,PE_buy_2,start_time_CE_2,start_time_PE_2,end_time_CE_2,end_time_PE_2,SP_3,SP_time_3,CE_sell_3,PE_sell_3,CE_buy_3,PE_buy_3,start_time_CE_3,start_time_PE_3,end_time_CE_3,end_time_PE_3,SP_4,SP_time_4,CE_sell_4,PE_sell_4,CE_buy_4,PE_buy_4,start_time_CE_4,start_time_PE_4,end_time_CE_4,end_time_PE_4,SP_5,SP_time_5,CE_sell_5,PE_sell_5,CE_buy_5,PE_buy_5,start_time_CE_5,start_time_PE_5,end_time_CE_5,end_time_PE_5,SP_6,SP_time_6,CE_sell_6,PE_sell_6,CE_buy_6,PE_buy_6,start_time_CE_6,start_time_PE_6,end_time_CE_6,end_time_PE_6,SP_7,SP_time_7,CE_sell_7,PE_sell_7,CE_buy_7,PE_buy_7,start_time_CE_7,start_time_PE_7,end_time_CE_7,end_time_PE_7,SP_8,SP_time_8,CE_sell_8,PE_sell_8,CE_buy_8,PE_buy_8,start_time_CE_8,start_time_PE_8,end_time_CE_8,end_time_PE_8,SP_9,SP_time_9,CE_sell_9,PE_sell_9,CE_buy_9,PE_buy_9,start_time_CE_9,start_time_PE_9,end_time_CE_9,end_time_PE_9,SP_10,SP_time_10,CE_sell_10,PE_sell_10,CE_buy_10,PE_buy_10,start_time_CE_10,start_time_PE_10,end_time_CE_10,end_time_PE_10
2022-09-01,BNF,0.5,3,101.75000000000001,1.6207764148712158,39000,09:15:00,229.1,175.9,343.6,62.6,09:15:00,09:15:00,09:30:00,09:50:00,39400,09:51:00,168.8,203.3,253.2,136.4,09:51:00,09:51:00,10:06:00,10:38:00,39500,10:39:00,167.55,191.2,60.3,178.0,10:39:00,10:39:00,13:21:00,11:47:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-08,BNF,0.5,3,74.3,0.8602969646453857,39800,09:15:00,165.1,168.3,208.3,50.8,09:15:00,09:15:00,09:33:00,13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-15,BNF,0.5,3,45.05000000000001,1.132159948348999,41600,09:15:00,191.3,163.75,287.0,162.7,09:15:00,09:15:00,09:21:00,09:38:00,41600,09:39:00,209.05,180.85,59.2,200.1,09:39:00,09:39:00,11:24:00,09:55:00,41300,11:25:00,151.9,173.1,147.8,168.1,11:25:00,11:25:00,13:07:00,11:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-22,BNF,0.5,3,74.85000000000002,1.501269817352295,41000,09:15:00,238.05,268.25,253.0,223.0,09:15:00,09:15:00,09:20:00,10:09:00,40900,10:10:00,168.85,195.3,26.6,293.0,10:10:00,10:10:00,13:11:00,10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-29,BNF,0.5,3,212.85,1.6307735443115234,38100,09:15:00,219.05,152.2,14.0,144.4,09:15:00,09:15:00,13:37:00,09:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-06,BNF,0.5,3,203.64999999999998,1.6259715557098389,39500,09:15:00,164.85,218.2,101.4,78.0,09:15:00,09:15:00,09:52:00,13:51:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-13,BNF,0.5,3,223.45000000000002,1.6158618927001953,39000,09:15:00,162.7,206.65,12.1,204.6,09:15:00,09:15:00,12:38:00,10:04:00,38600,12:39:00,127.7,89.6,70.4,76.1,12:39:00,12:39:00,13:57:00,13:32:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-20,BNF,0.5,3,-26.900000000000006,1.1283509731292725,40100,09:15:00,151.1,147.45,102.6,196.0,09:15:00,09:15:00,10:14:00,09:38:00,40100,10:15:00,104.75,149.55,93.1,224.3,10:15:00,10:15:00,10:50:00,11:13:00,39900,11:14:00,125.1,126.35,149.7,65.5,11:14:00,11:14:00,12:26:00,13:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-27,BNF,0.5,3,25.35000000000001,1.2749247550964355,41400,09:15:00,114.1,189.15,171.1,137.2,09:15:00,09:15:00,09:38:00,09:56:00,41400,09:57:00,104.6,144.3,45.7,172.8,09:57:00,09:57:00,12:59:00,11:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-03,BNF,0.5,3,37.90000000000002,1.4303085803985596,40900,09:15:00,206.15,141.25,309.2,0.3,09:15:00,09:15:00,09:30:00,15:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-10,BNF,0.5,3,50.749999999999986,1.0681779384613037,41600,09:15:00,104.1,135.85,12.3,176.9,09:15:00,09:15:00,13:24:00,10:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-17,BNF,0.5,3,96.2,1.1095149517059326,42400,09:15:00,143.95,94.15,124.6,17.3,09:15:00,09:15:00,12:31:00,13:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-24,BNF,0.5,3,51.20000000000001,1.8376405239105225,42800,09:15:00,72.75,92.25,109.1,22.2,09:15:00,09:15:00,09:31:00,12:24:00,42900,12:25:00,77.2,51.2,59.9,51.0,12:25:00,12:25:00,13:51:00,13:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
